number,sqrt1 (https://codebase64.org/doku.php?id=base:fast_sqrt),sqrt2 (http://www.6502.org/source/integers/root.htm),sqrt3 (http://www.txbobsc.com/aal/1986/aal8611.html#a1),sqrt5 (http://www.txbobsc.com/aal/1986/aal8609.html#a8),sqrt6 (https://www.bbcelite.com/master/main/subroutine/ll5.html),sqrt7 (http://6502org.wikidot.com/software-math-sqrt),sqrt9 (https://github.com/TobyLobster/sqrt_test/blob/main/sqrt/sqrt9.a),sqrt10 (https://github.com/TobyLobster/sqrt_test/blob/main/sqrt/sqrt10.a),sqrt11 (http://forum.6502.org/viewtopic.php?p=90611#p90611),sqrt12 (https://gitlab.riscosopen.org/RiscOS/Sources/Apps/Diversions/Meteors/-/blob/master/Srce6502/MetSrc2#L961),sqrt13 (https://stardot.org.uk/forums/viewtopic.php?p=367937#p367937),sqrt14 (https://stardot.org.uk/forums/viewtopic.php?p=367937#p367937),sqrt15 (https://stardot.org.uk/forums/viewtopic.php?p=367937#p367937)
0,275,754,24,686,496,479,23,201,251,891,39,43,34
1,276,776,138,696,508,484,126,202,204,944,39,43,34
2,276,776,138,696,508,484,126,202,219,944,39,43,34
3,276,776,138,696,508,484,111,202,219,944,39,43,34
4,288,776,118,696,502,484,111,207,157,944,41,45,34
5,288,776,118,696,502,484,111,207,216,960,41,45,34
6,288,776,118,696,502,484,111,207,216,960,41,45,34
7,288,776,118,696,502,484,111,207,216,974,41,45,34
8,288,776,118,696,508,484,111,207,216,974,41,45,34
9,289,798,118,706,520,489,111,208,207,997,41,45,34
10,289,798,118,706,520,489,111,208,222,997,41,45,34
11,289,798,118,706,520,489,94,208,222,997,41,45,34
12,289,798,118,706,517,489,94,208,222,997,41,45,34
13,289,798,118,706,517,489,94,208,222,997,41,45,34
14,289,798,118,706,517,489,94,208,222,997,41,45,34
15,289,798,118,706,517,489,94,208,222,997,41,45,34
16,288,776,98,696,496,484,94,211,110,944,41,45,50
17,288,776,98,696,496,484,94,211,214,960,41,45,50
18,288,776,98,696,496,484,94,211,214,960,41,45,50
19,288,776,98,696,496,484,94,211,214,960,41,45,50
20,288,776,98,696,496,484,94,211,214,976,41,45,50
21,288,776,98,696,496,484,94,211,214,990,41,45,50
22,288,776,98,696,496,484,94,211,214,990,41,45,50
23,288,776,98,696,496,484,94,211,214,990,41,45,50
24,288,776,98,696,502,484,94,211,214,990,41,45,50
25,289,798,98,706,514,489,94,212,205,1013,41,45,50
26,289,798,98,706,514,489,94,212,220,1013,41,45,50
27,289,798,98,706,514,489,94,212,220,1013,41,45,50
